word;clue
caribou;"Never try to milk a _" - Kenai
strawberry;The fruit that Annie and Hallie are allergic to
scooter;Mia and Lilly's go-to mode of transportation
Gignac;French Tigre (UANL)
Gracie;J.J. Abrams's famous daughter
NTDs;Diseases that wish they were TB
osheaga;Montreal's summer music festival
igloofest;Montreal's winter music festival
suburbs;Where Win Butler learned to drive?
Mushaboom;Harbor town in Feist's native province
Clan;Belgian inspiration for Bad Sisters
Patil;The last name of the twins in Harry Potter
Fluffy;Great trapdoor guardian
NHL;The Shark Tank is home to this league
Aitana;Two time Ballon d'Or Féminin winner
YLW;Okanagan valley landing spot
mop;What you use to clean up a spill
oar;What you use to row a boat
afar;The experienced birder was able to identify birds from _
ache;What you feel more of as you get older
omicron;The 15th letter of the Greek alphabet
